post_id;user_id;username;url;date_of_post;caption;hashtags;mentions;partner;like_count;comment_count
2.14541677904505E+018;6531734;rachparcell;https://instagram.com/p/B3GDTGSJI0H/;2019-10-01 23:47:13;Picking up pumpkins today for our porch with these two pumpkins. 🧡 Isla Rose’s go-to pose. I can’t. 😂 #fall #falldecor;fall,falldecor;;;11317;135
2.14519383246849E+018;6531734;rachparcell;https://instagram.com/p/B3FQmzGpLJK/;2019-10-01 16:24:17;One of my favorite months has arrived!! Happy first day of October!! Some of my favorite pics from last year!🦇🎃🖤🍁 #october #pumkinpatch #fall #momstyle #familyphotos;october,pumkinpatch,fall,momstyle,familyphotos;;;13492;94
2.14475642351162E+018;6531734;rachparcell;https://instagram.com/p/B3DtJqRJbHE/;2019-10-01 01:55:12;I added a few classic @tommyhilfiger pieces to my closet for fall! This dress and cardigan are classic, fun, and I love how versatile they are! I also love that it is all available at @nordstrom! Shop my whole look plus some fun other styles from their fall collection on the @liketoknow.it app! #tommypartner http://liketk.it/2FpJL #liketkit;tommypartner,liketkit;tommyhilfiger,nordstrom,liketoknow;;7418;84
2.14388463580629E+018;6531734;rachparcell;https://instagram.com/p/B3Am7espszi/;2019-09-29 22:01:17;Feels like fall. Rainy and crisp air. Shop my LBD in the link in my bio! 🍁🖤 #mommyandme #littleblackdress #myrpdress (Isla Rose’s bow & dress gifted);mommyandme,littleblackdress,myrpdress;;;31357;366
2.14326846644338E+018;6531734;rachparcell;https://instagram.com/p/B2-a1CQp3RX/;2019-09-29 00:38:54;Getting ready for date night and still enjoying these beyond beautiful roses around my home from the bridal shower. 🌸✨ #roses #closet #closetdesign;roses,closet,closetdesign;;;14693;116
2.14243651478594E+018;6531734;rachparcell;https://instagram.com/p/B27dqi5pD_6/;2019-09-27 21:06:00;Unforgettable night spent with close friends and family celebrating my amazing little sister, the bride-to-be @meglskalla 🦋 Anything @sinclairandmoore touches turns to magic. 🌸✨ #bridalshower #blushpink #eventlighting #sinclairandmoore #weddinginspo;bridalshower,blushpink,eventlighting,sinclairandmoore,weddinginspo;meglskalla,sinclairandmoore;;54052;1341
2.14155566881E+018;6531734;rachparcell;https://instagram.com/p/B24VYjKJODh/;2019-09-26 15:55:52;A beautiful mess and a sea of @gracerosefarm roses ✨ My incredibly talented friend, Steve from @sinclairandmoore was sweet enough to fly to Utah to help me pull together this event. Is his work is awe inspiring...🌸✨ #floraldesign #gardenroses #craftroom #bridalshower #sinclairandmoore;floraldesign,gardenroses,craftroom,bridalshower,sinclairandmoore;gracerosefarm,sinclairandmoore;;22552;276
2.14085657252891E+018;6531734;rachparcell;https://instagram.com/p/B212bXApWbP/;2019-09-25 16:46:53;Last night heading to an awards gala with my hubby. @rachelparcell collection was awarded one of the top 10 start-ups in Utah to watch and that is thanks to you ladies, our amazing customers!! Our growth and goals couldn’t have happened without you!! We love you and love seeing you in your RP pieces!! 🖤 #myrpdress #rachelparcell #womeninbusiness;myrpdress,rachelparcell,womeninbusiness;rachelparcell;;14139;218
2.14009294038788E+018;6531734;rachparcell;https://instagram.com/p/B2zIzDKJAH6/;2019-09-24 15:29:42;Picture day!! 💛;;;;21876;268
2.13964451253316E+018;6531734;rachparcell;https://instagram.com/p/B2xi1kLJx9l/;2019-09-24 00:38:45;Happy first day of fall. I wish you could smell this picture too. All the fall feels. 🍁✨🍂 #falldecor #interiordesign #homedecor #marblemantel;falldecor,interiordesign,homedecor,marblemantel;;;18071;249
2.13891039460197E+018;6531734;rachparcell;https://instagram.com/p/B2u76vkpCuV/;2019-09-23 00:20:11;It was a special Sunday, Isla Rose sang in a children’s choir for the primary program during our church service this morning so she had her grand parents and aunties came to watch. She did amazing. 💗👏🏼 #myrpdress #sundaybest #momstyle;myrpdress,sundaybest,momstyle;;;18388;189
2.13816115245546E+018;6531734;rachparcell;https://instagram.com/p/B2sRj1cpbiE/;2019-09-21 23:31:35;Girls day! Bridal shower for my sister, then some shopping and lunch!! So fun to show Isla Rose the new collection displayed on the floor @nordstrom! I didn’t even have to point it out, the second she spotted she ran and said “mama it’s our dresses!!” She is the sweetest. 💗 #myrpdress #fallstyle #mommyandme;myrpdress,fallstyle,mommyandme;nordstrom;;27342;252
2.13752960516342E+018;6531734;rachparcell;https://instagram.com/p/B2qB9nMpXi8/;2019-09-21 02:36:48;If you are looking for a new anti-aging skin care routine, I have the BEST products for you from @VichyUSA that I have been using lately! Did you know the most recommended anti-aging ingredients according to US derms are Peptides, Vitamin C and Retinol? These three #VichyUSA products have those key ingredient and more! I have talked more about it in a blog post that just went up today and you can use my code RACH19 to get 20% off to try them out yourself! I truly love the @vichyusa products and I know that it won’t disappoint if you decide to try them yourself!! #purepeptidepower #ad;vichyusa,purepeptidepower,ad;vichyusa,vichyusa;vichyusa;5590;74
2.13661498401767E+018;6531734;rachparcell;https://instagram.com/p/B2myAH4Jmcb/;2019-09-19 20:19:37;Officially in the fall mood! 🍂 #falldecor #kitchendecor #frenchkitchen;falldecor,kitchendecor,frenchkitchen;;;9549;84
2.13576867883133E+018;6531734;rachparcell;https://instagram.com/p/B2jxkwwJY7h/;2019-09-18 16:18:12;Fall florals, snake skin and leopard prints, cozy sweaters, chic outerwear, power suits, lots of lace and modern yet feminine dresses- I’m thrilled you can now shop the @rachelparcell fall collection @nordstrom!! 🍂 What have you ordered?? What are your favorites?? What’s on your wishlist?! Leave a comment below! 👇🏼 You can shop the full collection through the link in my bio or on my profile in the  @liketoknow.it app!! 🍂🖤 #liketkit http://liketk.it/2F2ob #fallfashion #fallfloral #myrpdress;liketkit,fallfashion,fallfloral,myrpdress;rachelparcell,nordstrom,liketoknow;;13370;351
2.13505485255737E+018;6531734;rachparcell;https://instagram.com/p/B2hPROOp_mM/;2019-09-17 16:39:55;I am honored that the incredibly talented @ambervenzbox founder of @liketoknow.it  and @rewardstylehq asked me to be the first guest on season 2 of LIKEtoKNOW.it Influencer Radio. We chat about my life, childhood, business and what I’ve learned being in this industry for almost a decade. I’m lucky that I get to call this power house of woman a dear friend and a mentor. She’s inspiring and paved the way for influencers like me to build a business. You can listen to our conversation with the link in my bio! 💗  http://liketk.it/2F0w0 #liketkit;liketkit;ambervenzbox,liketoknow,rewardstylehq;;7080;106
2.13460972030109E+018;6531734;rachparcell;https://instagram.com/p/B2fqDsgpHYx/;2019-09-17 01:55:34;From spring decor to fall. From bright to moody. Swipe! 🌸✨->🖤🍂 #falldecor #entryway #seasonchange #interiordesign;falldecor,entryway,seasonchange,interiordesign;;;15689;181
